port_name,lat_long,lat,lon,port_uc
BALONGAN TERMINAL,"-6.359610030402,108.390498870712",-6.359610030402,108.390498870712,BALONGAN TERMINAL
BANABUNGI,"-5.504017265209,122.846395191429",-5.504017265209,122.846395191429,BANABUNGI
BANDA ACEH,"5.565974064356,95.293736636882",5.565974064356,95.293736636882,BANDA ACEH
BANDANAIRA,"-4.533333333333,129.900000000000",-4.533333333333,129.9,BANDANAIRA
BANDUL,"1.257171401203,102.466658026661",1.257171401203,102.466658026661,BANDUL
BANEMO,"0.323426071825,128.554979376636",0.323426071825,128.554979376636,BANEMO
BANG SAPHAN,"11.183333333333,99.600000000000",11.183333333333,99.6,BANG SAPHAN
BANGGAI,"-0.945629085709,122.792163597129",-0.945629085709,122.792163597129,BANGGAI
BANGKOK,"13.750000000000,100.500000000000",13.75,100.5,BANGKOK
BANGPAKONG,"13.503282132648,100.977143481309",13.503282132648,100.977143481309,BANGPAKONG
BANJARAN,"-7.200000000000,108.783333333333",-7.2,108.783333333333,BANJARAN
BANJARMASIN,"-3.333333333333,114.583333333333",-3.333333333333,114.583333333333,BANJARMASIN
BANJARMASIN/TUKS PT. PERTAMINA,"-3.311310000000,114.564410000000",-3.31131,114.56441,BANJARMASIN/TUKS PT. PERTAMINA
BANJARNEGARA,"-7.383333333333,109.683333333333",-7.383333333333,109.683333333333,BANJARNEGARA
BANTAENG,"-5.562187969136,119.917743929983",-5.562187969136,119.917743929983,BANTAENG
BANTEN,"-6.016666666667,105.966666666667",-6.016666666667,105.966666666667,BANTEN
BANYUWANGI,"-8.200000000000,114.350000000000",-8.2,114.35,BANYUWANGI
BANYUWANGI /TANJUNG WANGI,"-8.128303563679,114.399269434108",-8.128303563679,114.399269434108,BANYUWANGI /TANJUNG WANGI
BAOSHAN,"31.412631513237,121.509575163199",31.412631513237,121.509575163199,BAOSHAN
BAPENU,"-1.967655376327,124.693971119207",-1.967655376327,124.693971119207,BAPENU
BARANUSA,"-8.361869278026,124.096313171447",-8.361869278026,124.096313171447,BARANUSA
BARAPASI,"-2.241794656471,136.993858240328",-2.241794656471,136.993858240328,BARAPASI
"BASAMUK, PAPUA NEW GUINEA","-5.543600000000,146.143900000000",-5.5436,146.1439,"BASAMUK, PAPUA NEW GUINEA"
BASRAH OIL TERMINAL,"30.060579546268,47.928472000468",30.060579546268,47.928472000468,BASRAH OIL TERMINAL
BASTIONG,"0.766291324175,127.377379788622",0.766291324175,127.377379788622,BASTIONG
BASUO PT,"19.000000000000,108.616700000000",19.0,108.6167,BASUO PT
"BATAAN, MARIVELES","14.431496982137,120.485828318326",14.431496982137,120.485828318326,"BATAAN, MARIVELES"
BATAKA/HALMAHERA BARAT,"1.424638266085,127.514127652659",1.424638266085,127.514127652659,BATAKA/HALMAHERA BARAT
BATAM,"1.131744391292,104.055096489632",1.131744391292,104.055096489632,BATAM
BATAM/BATU AMPAR,"1.164898955629,104.002187070260",1.164898955629,104.00218707026,BATAM/BATU AMPAR
BATANG,"-6.916666666667,109.750000000000",-6.916666666667,109.75,BATANG
BATANGAS/LUZON,"13.760923965041,121.048260077785",13.760923965041,121.048260077785,BATANGAS/LUZON
BATU ATAS,"-6.200293765034,122.701815152071",-6.200293765034,122.701815152071,BATU ATAS
BATU ENAM,"0.925393115180,104.481404762820",0.92539311518,104.48140476282,BATU ENAM
BATU PAHAT,"1.800324369677,102.894687134595",1.800324369677,102.894687134595,BATU PAHAT
BATU PANJANG,"1.705419816268,101.521061487850",1.705419816268,101.52106148785,BATU PANJANG
BATULICIN,"-3.450000000000,115.983333333333",-3.45,115.983333333333,BATULICIN
BATURUBE,"-1.764178823718,121.802397923853",-1.764178823718,121.802397923853,BATURUBE
BAU-BAU,"-5.454498735444,122.610243934385",-5.454498735444,122.610243934385,BAU-BAU
BAU-BAU/MARHUM,"-5.454498735444,122.610243934385",-5.454498735444,122.610243934385,BAU-BAU/MARHUM
BAU-BAU/TERSUS PT. PERTAMINA,"-5.518740064199,122.555367173628",-5.518740064199,122.555367173628,BAU-BAU/TERSUS PT. PERTAMINA
BAUBAU,"-5.466666666667,122.616666666667",-5.466666666667,122.616666666667,BAUBAU
BAWEAN,"-5.850919516615,112.643391854682",-5.850919516615,112.643391854682,BAWEAN
BAYAH,"-6.916666666667,106.250000000000",-6.916666666667,106.25,BAYAH
BAYUN,"-6.181752922556,138.401618749063",-6.181752922556,138.401618749063,BAYUN
BEBATU,"3.533640607831,117.193511322431",3.533640607831,117.193511322431,BEBATU
BEHAUR,"-3.168542944688,114.116177106507",-3.168542944688,114.116177106507,BEHAUR
BEIHAI PT,"21.538974513280,109.064008896348",21.53897451328,109.064008896348,BEIHAI PT
BEILUN,"29.925052483916,121.880676794960",29.925052483916,121.88067679496,BEILUN
BELAKANG PADANG,"1.156425180237,103.893527500513",1.156425180237,103.893527500513,BELAKANG PADANG
BELANAK TERMINAL,"3.020351160921,107.772211422432",3.020351160921,107.772211422432,BELANAK TERMINAL
BELANG,"1.023578415584,124.776347687737",1.023578415584,124.776347687737,BELANG
BELANG-BELANG,"-2.316160058773,119.117612863445",-2.316160058773,119.117612863445,BELANG-BELANG
BELAWAN,"3.783333333333,98.683333333333",3.783333333333,98.683333333333,BELAWAN
BELAWAN/TUKS PERTAMINA,"3.788821059910,98.713026549560",3.78882105991,98.71302654956,BELAWAN/TUKS PERTAMINA
BELIDA TERMINAL,"4.133333333333,105.133333333333",4.133333333333,105.133333333333,BELIDA TERMINAL
BELINYU,"-1.628995189892,105.732783174212",-1.628995189892,105.732783174212,BELINYU
BELITUNG,"-2.833333333333,107.916666666667",-2.833333333333,107.916666666667,BELITUNG
BENETE,"-8.866666666667,116.716666666667",-8.866666666667,116.716666666667,BENETE
BENGALON,"0.761114866186,117.758847743276",0.761114866186,117.758847743276,BENGALON
BENGKALIS,"1.466666666667,102.100000000000",1.466666666667,102.1,BENGKALIS
BENGKULU,"-3.783333333333,102.250000000000",-3.783333333333,102.25,BENGKULU
BENJINA,"-6.072937754872,134.266571483413",-6.072937754872,134.266571483413,BENJINA
BENOA,"-8.750000000000,115.216666666667",-8.75,115.216666666667,BENOA
BENOA/TUKS PT. PERTAMINA,"-8.745320387434,115.209242412083",-8.745320387434,115.209242412083,BENOA/TUKS PT. PERTAMINA
BEO,"4.229376384948,126.789387091021",4.229376384948,126.789387091021,BEO
BERAU,"2.159390361138,117.504615243407",2.159390361138,117.504615243407,BERAU
BERE - BERE,"2.389353263811,128.664210016191",2.389353263811,128.664210016191,BERE - BERE
BHAVNAGAR,"21.759763794247,72.231856525887",21.759763794247,72.231856525887,BHAVNAGAR
BIAK,"-1.184226153378,136.076346928233",-1.184226153378,136.076346928233,BIAK
BIAK/TUKS PT. PERTAMINA,"-1.184377252733,136.070680198407",-1.184377252733,136.070680198407,BIAK/TUKS PT. PERTAMINA
BIARO,"2.126961893050,125.364267486703",2.12696189305,125.364267486703,BIARO
BICOLI,"0.590466439118,128.515896772357",0.590466439118,128.515896772357,BICOLI
BIMA,"-8.447246134718,118.714552194541",-8.447246134718,118.714552194541,BIMA
BIMA TUKS PERTAMINA,"-8.475649919793,118.706841428414",-8.475649919793,118.706841428414,BIMA TUKS PERTAMINA
BINTAN,"0.934594172985,104.439618923115",0.934594172985,104.439618923115,BINTAN
BINTUHAN/LINAU,"-4.842825465628,103.412709783522",-4.842825465628,103.412709783522,BINTUHAN/LINAU
"BINTULU, SARAWAK","3.263715654617,113.066949798834",3.263715654617,113.066949798834,"BINTULU, SARAWAK"
BINTUNI,"-2.112839608500,133.526262518727",-2.1128396085,133.526262518727,BINTUNI
BIRA/TANAH BERU,"-5.607313572108,120.468260429864",-5.607313572108,120.468260429864,BIRA/TANAH BERU
BIRINGKASSI,"-4.816666666667,119.483333333333",-4.816666666667,119.483333333333,BIRINGKASSI
BISUI,"-0.471087653935,128.083082716202",-0.471087653935,128.083082716202,BISUI
BITUNG,"1.433333333333,125.183333333333",1.433333333333,125.183333333333,BITUNG
BITUNG/TUKS PT. PERTAMINA,"1.443767051309,125.185300973347",1.443767051309,125.185300973347,BITUNG/TUKS PT. PERTAMINA
BIU,"-10.507183412823,121.995657777616",-10.507183412823,121.995657777616,BIU
"BLANG LANCANG, ST","5.233838390136,97.096012036069",5.233838390136,97.096012036069,"BLANG LANCANG, ST"
BLINJU/BELINYU,"-1.629691043451,105.732960569443",-1.629691043451,105.732960569443,BLINJU/BELINYU
BOBONG,"-1.951171105466,124.382807401552",-1.951171105466,124.382807401552,BOBONG
BOEPINANG,"-4.785725918308,121.582952809261",-4.785725918308,121.582952809261,BOEPINANG
BOJONEGARA,"-5.910491908540,106.091492994828",-5.91049190854,106.091492994828,BOJONEGARA
BOLOK,"-10.218501247977,123.518948628133",-10.218501247977,123.518948628133,BOLOK
BONTANG,"0.171776853965,117.485908965668",0.171776853965,117.485908965668,BONTANG
BONTANG/TUKS PT. PERTAMINA,"0.171869664062,117.491384793582",0.171869664062,117.491384793582,BONTANG/TUKS PT. PERTAMINA
BOOM BARU/PALEMBANG,"-2.979432697129,104.776833237775",-2.979432697129,104.776833237775,BOOM BARU/PALEMBANG
BOROKO,"0.907382665707,123.256014799712",0.907382665707,123.256014799712,BOROKO
BRANTA/SUMENEP,"-7.226466952211,113.449035556006",-7.226466952211,113.449035556006,BRANTA/SUMENEP
BRONDONG,"-6.868194039850,112.289139950077",-6.86819403985,112.289139950077,BRONDONG
BUANO,"-3.014493010603,127.947080483222",-3.014493010603,127.947080483222,BUANO
BUATAN,"0.746399762668,101.817651328169",0.746399762668,101.817651328169,BUATAN
BUDGE-BUDGE,"22.485563500332,88.176809435238",22.485563500332,88.176809435238,BUDGE-BUDGE
BUDONG-BUDONG,"-2.124274303173,119.189314982543",-2.124274303173,119.189314982543,BUDONG-BUDONG
BUKIT TUA MARINE TERMINAL/TERSUS SKK MIGAS,"-6.616700000000,113.300000000000",-6.6167,113.3,BUKIT TUA MARINE TERMINAL/TERSUS SKK MIGAS
BULA,"-3.100000000000,130.500000000000",-3.1,130.5,BULA
BULA/TERSUS PT. PERTAMINA,"-3.062854170647,130.451518527317",-3.062854170647,130.451518527317,BULA/TERSUS PT. PERTAMINA
"BULELENG, BALI","-8.103615602485,115.088870028674",-8.103615602485,115.088870028674,"BULELENG, BALI"
BULI,"0.883993510143,128.297089292356",0.883993510143,128.297089292356,BULI
BULUKUMBA/LAPPE'E,"-5.546634276761,120.216336822815",-5.546634276761,120.216336822815,BULUKUMBA/LAPPE'E
BUMBULAN,"0.487305051909,122.111979909924",0.487305051909,122.111979909924,BUMBULAN
BUNATI,"-3.750000000000,115.616666666667",-3.75,115.616666666667,BUNATI
BUNGKU,"-2.540486901963,121.973573162188",-2.540486901963,121.973573162188,BUNGKU
BUNTA,"-0.836946643613,122.162148655139",-0.836946643613,122.162148655139,BUNTA
